ID,Student_Query,Priority
3489,When will semester timetable be released?,Medium
1171,My result shows absent but I attended exam.,High
4746,Holiday list for this semester?,Low
2119,How to reset student portal password?,Medium
3019,The assignment portal is not working before deadline.,High
1195,Request for bonafide certificate.,Medium
2246,How to join sports club?,Low
2874,Is there any AI workshop this month?,Low
5640,My result shows absent but I attended exam.,High
2550,Urgent: hostel fee payment not updated.,High
3155,When will semester timetable be released?,Medium
94,Is there any AI workshop this month?,Low
2078,I need migration certificate process.,Medium
470,Please update my contact number.,Medium
788,I want to change my elective subject.,Medium
1700,How to join sports club?,Low
1838,I cannot submit my exam form and today is the last date.,High
3064,Where to collect ID card?,Low
1707,I cannot submit my exam form and today is the last date.,High
3968,Please update my contact number.,Medium
3863,Any cultural events this week?,Low
3665,I am unable to access exam hall ticket.,High
5892,Degree certificate required urgently for job.,High
3205,My fee payment failed but amount deducted.,High
605,Urgent: hostel fee payment not updated.,High
4943,I want to join a club in university.,Medium
1551,Bus schedule for weekend?,Low
4709,How can I apply for hostel change?,Medium
4835,Any cultural events this week?,Low
3186,Request for bonafide certificate.,Medium
4387,Bus schedule for weekend?,Low
1587,I need migration certificate process.,Medium
3120,"Internship deadline today, need NOC approval.",High
3400,Where to collect ID card?,Low
402,What are library timings?,Low
32,How can I apply for hostel change?,Medium
1484,I want to change my elective subject.,Medium
2681,The assignment portal is not working before deadline.,High
600,My result shows absent but I attended exam.,High
3150,What are library timings?,Low
5545,Any cultural events this week?,Low
1861,I am unable to access exam hall ticket.,High
566,Holiday list for this semester?,Low
2214,My fee payment failed but amount deducted.,High
1967,Request for bonafide certificate.,Medium
866,Holiday list for this semester?,Low
4608,I missed my exam registration due to portal error.,High
2451,Urgent: hostel fee payment not updated.,High
5693,When will semester timetable be released?,Medium
813,How to reset student portal password?,Medium
1478,Urgent: hostel fee payment not updated.,High
4735,I want to change my elective subject.,Medium
2272,Urgent: hostel fee payment not updated.,High
1039,Where is the auditorium located?,Low
4527,Please update my contact number.,Medium
81,Is there any AI workshop this month?,Low
1205,Urgent: hostel fee payment not updated.,High
3286,I want to join a club in university.,Medium
1546,Please update my contact number.,Medium
178,"Internship deadline today, need NOC approval.",High
2586,The assignment portal is not working before deadline.,High
5993,Where to collect ID card?,Low
4864,When will semester timetable be released?,Medium
1439,What are library timings?,Low
297,The assignment portal is not working before deadline.,High
3616,My fee payment failed but amount deducted.,High
3648,Urgent: hostel fee payment not updated.,High
158,When does cafeteria open?,Low
1028,"Internship deadline today, need NOC approval.",High
411,My fee payment failed but amount deducted.,High
3959,I cannot submit my exam form and today is the last date.,High
5938,How to reset student portal password?,Medium
4957,Degree certificate required urgently for job.,High
4757,Request for bonafide certificate.,Medium
5448,Holiday list for this semester?,Low
2182,Bus schedule for weekend?,Low
5809,What are library timings?,Low
811,How to reset student portal password?,Medium
4916,What are library timings?,Low
4954,My fee payment failed but amount deducted.,High
3734,I cannot submit my exam form and today is the last date.,High
5164,I want to change my elective subject.,Medium
2978,What are library timings?,Low
3796,I want to join a club in university.,Medium
2169,Degree certificate required urgently for job.,High
3078,My fee payment failed but amount deducted.,High
1695,How to apply for revaluation?,Medium
1025,How to reset student portal password?,Medium
3947,I missed my exam registration due to portal error.,High
2125,The assignment portal is not working before deadline.,High
5295,I want to change my elective subject.,Medium
2705,What are library timings?,Low
1034,The assignment portal is not working before deadline.,High
5872,How to join sports club?,Low
5365,Any cultural events this week?,Low
4160,Where is the auditorium located?,Low
1701,I need migration certificate process.,Medium
2914,How to join sports club?,Low
4879,Please update my contact number.,Medium
3321,Can I change my project guide?,Medium
5027,I cannot submit my exam form and today is the last date.,High
2583,I am unable to access exam hall ticket.,High
5284,Bus schedule for weekend?,Low
4251,My scholarship has not been credited yet.,High
1187,My scholarship has not been credited yet.,High
3738,Degree certificate required urgently for job.,High
784,I want to join a club in university.,Medium
4403,I cannot submit my exam form and today is the last date.,High
51,Urgent: hostel fee payment not updated.,High
713,I cannot submit my exam form and today is the last date.,High
2307,I need migration certificate process.,Medium
3868,Request for bonafide certificate.,Medium
2447,How to reset student portal password?,Medium
2241,I want to join a club in university.,Medium
4604,Degree certificate required urgently for job.,High
4791,Holiday list for this semester?,Low
3104,Is there any AI workshop this month?,Low
5567,I want to change my elective subject.,Medium
677,Degree certificate required urgently for job.,High
5557,Any cultural events this week?,Low
3640,"Internship deadline today, need NOC approval.",High
2695,Urgent: hostel fee payment not updated.,High
2996,Please update my contact number.,Medium
1563,Holiday list for this semester?,Low
3650,Is there any AI workshop this month?,Low
2466,The assignment portal is not working before deadline.,High
347,I am unable to access exam hall ticket.,High
1497,Degree certificate required urgently for job.,High
2345,I cannot submit my exam form and today is the last date.,High
3906,"Internship deadline today, need NOC approval.",High
3659,How can I apply for hostel change?,Medium
623,Can I change my project guide?,Medium
4097,My fee payment failed but amount deducted.,High
1401,Is there any AI workshop this month?,Low
3298,Degree certificate required urgently for job.,High
3986,I am unable to access exam hall ticket.,High
5182,The assignment portal is not working before deadline.,High
4618,How to join sports club?,Low
325,How to join sports club?,Low
2998,I missed my exam registration due to portal error.,High
38,Any cultural events this week?,Low
5375,When will semester timetable be released?,Medium
4185,Please update my contact number.,Medium
531,"Internship deadline today, need NOC approval.",High
2643,When does cafeteria open?,Low
3681,Where is the auditorium located?,Low
2349,Request for bonafide certificate.,Medium
2785,When does cafeteria open?,Low
5493,I want to change my elective subject.,Medium
2226,I missed my exam registration due to portal error.,High
1074,Any cultural events this week?,Low
1198,Bus schedule for weekend?,Low
5139,When will semester timetable be released?,Medium
264,The assignment portal is not working before deadline.,High
1730,Where to collect ID card?,Low
5329,I need migration certificate process.,Medium
908,Can I change my project guide?,Medium
1336,I am unable to access exam hall ticket.,High
1394,I missed my exam registration due to portal error.,High
961,Can I change my project guide?,Medium
240,The assignment portal is not working before deadline.,High
200,Any cultural events this week?,Low
2418,How can I apply for hostel change?,Medium
5470,When does cafeteria open?,Low
4311,My scholarship has not been credited yet.,High
4715,Is there any AI workshop this month?,Low
5791,Request for bonafide certificate.,Medium
326,What are library timings?,Low
2678,Any cultural events this week?,Low
5824,Please update my contact number.,Medium
4419,I want to join a club in university.,Medium
102,Request for bonafide certificate.,Medium
1738,Request for bonafide certificate.,Medium
5262,Where is the auditorium located?,Low
878,Holiday list for this semester?,Low
5893,I missed my exam registration due to portal error.,High
409,Any cultural events this week?,Low
3746,When does cafeteria open?,Low
1245,How to apply for revaluation?,Medium
2288,Please update my contact number.,Medium
1355,I cannot submit my exam form and today is the last date.,High
2858,How to join sports club?,Low
894,When does cafeteria open?,Low
1182,Can I change my project guide?,Medium
4656,Please update my contact number.,Medium
5323,I want to join a club in university.,Medium
3699,Bus schedule for weekend?,Low
4467,How can I apply for hostel change?,Medium
4326,I need migration certificate process.,Medium
731,Degree certificate required urgently for job.,High
1033,Holiday list for this semester?,Low
3067,Degree certificate required urgently for job.,High
5659,Request for bonafide certificate.,Medium
4897,Degree certificate required urgently for job.,High
978,"Internship deadline today, need NOC approval.",High
4970,WiFi password for campus?,Low
2623,Degree certificate required urgently for job.,High
1226,When does cafeteria open?,Low
1210,What are library timings?,Low
5481,What are library timings?,Low
587,Bus schedule for weekend?,Low
5455,How to join sports club?,Low
2821,Degree certificate required urgently for job.,High
5756,My scholarship has not been credited yet.,High
2719,Holiday list for this semester?,Low
5625,When will semester timetable be released?,Medium
1761,My fee payment failed but amount deducted.,High
3050,How can I apply for hostel change?,Medium
1870,Bus schedule for weekend?,Low
1545,I want to join a club in university.,Medium
473,What are library timings?,Low
5240,Request for bonafide certificate.,Medium
1159,Can I change my project guide?,Medium
133,"Internship deadline today, need NOC approval.",High
1537,I cannot submit my exam form and today is the last date.,High
2489,What are library timings?,Low
1633,Urgent: hostel fee payment not updated.,High
1322,How can I apply for hostel change?,Medium
5428,Bus schedule for weekend?,Low
1189,My fee payment failed but amount deducted.,High
4379,My result shows absent but I attended exam.,High
3972,Request for bonafide certificate.,Medium
4817,Degree certificate required urgently for job.,High
682,What are library timings?,Low
1778,Is there any AI workshop this month?,Low
4406,My result shows absent but I attended exam.,High
4601,The assignment portal is not working before deadline.,High
4563,How to reset student portal password?,Medium
2903,How can I apply for hostel change?,Medium
5687,Where is the auditorium located?,Low
3552,Degree certificate required urgently for job.,High
5643,Please update my contact number.,Medium
1375,Urgent: hostel fee payment not updated.,High
1946,Degree certificate required urgently for job.,High
169,Where to collect ID card?,Low
4072,How can I apply for hostel change?,Medium
4748,How to apply for revaluation?,Medium
502,Holiday list for this semester?,Low
1804,How can I apply for hostel change?,Medium
882,I am unable to access exam hall ticket.,High
707,What are library timings?,Low
3367,Holiday list for this semester?,Low
2324,Can I change my project guide?,Medium
2894,The assignment portal is not working before deadline.,High
3817,My scholarship has not been credited yet.,High
2560,Urgent: hostel fee payment not updated.,High
231,Degree certificate required urgently for job.,High
5092,I cannot submit my exam form and today is the last date.,High
1555,Please update my contact number.,Medium
4240,"Internship deadline today, need NOC approval.",High
5095,"Internship deadline today, need NOC approval.",High
4787,My result shows absent but I attended exam.,High
3602,Where to collect ID card?,Low
5218,How to apply for revaluation?,Medium
5076,How to reset student portal password?,Medium
18,WiFi password for campus?,Low
5176,Please update my contact number.,Medium
2869,Any cultural events this week?,Low
1655,My result shows absent but I attended exam.,High
1130,Can I change my project guide?,Medium
2330,When does cafeteria open?,Low
1091,The assignment portal is not working before deadline.,High
5604,How to join sports club?,Low
4459,Any cultural events this week?,Low
1499,When does cafeteria open?,Low
3034,I am unable to access exam hall ticket.,High
1882,I want to join a club in university.,Medium
2663,Can I change my project guide?,Medium
5114,Where is the auditorium located?,Low
3414,I want to change my elective subject.,Medium
697,Urgent: hostel fee payment not updated.,High
4424,Bus schedule for weekend?,Low
3485,Urgent: hostel fee payment not updated.,High
536,Where is the auditorium located?,Low
2628,I cannot submit my exam form and today is the last date.,High
3164,How to apply for revaluation?,Medium
3493,Where to collect ID card?,Low
3654,How to apply for revaluation?,Medium
2595,How to join sports club?,Low
5718,How can I apply for hostel change?,Medium
5511,Request for bonafide certificate.,Medium
1048,What are library timings?,Low
5685,My fee payment failed but amount deducted.,High
5019,When will semester timetable be released?,Medium
15,I want to change my elective subject.,Medium
3743,WiFi password for campus?,Low
4308,I am unable to access exam hall ticket.,High
5874,Urgent: hostel fee payment not updated.,High
2348,I want to change my elective subject.,Medium
5691,I cannot submit my exam form and today is the last date.,High
1565,Is there any AI workshop this month?,Low
5620,Is there any AI workshop this month?,Low
1865,What are library timings?,Low
3095,Can I change my project guide?,Medium
66,I am unable to access exam hall ticket.,High
3404,How to apply for revaluation?,Medium
5410,Please update my contact number.,Medium
5855,When does cafeteria open?,Low
2411,The assignment portal is not working before deadline.,High
5770,I need migration certificate process.,Medium
2842,The assignment portal is not working before deadline.,High
2009,I want to change my elective subject.,Medium
1273,I want to join a club in university.,Medium
4946,I cannot submit my exam form and today is the last date.,High
1895,I want to join a club in university.,Medium
4318,I am unable to access exam hall ticket.,High
1972,"Internship deadline today, need NOC approval.",High
4096,I cannot submit my exam form and today is the last date.,High
89,Where is the auditorium located?,Low
3091,My scholarship has not been credited yet.,High
4884,Urgent: hostel fee payment not updated.,High
1500,Please update my contact number.,Medium
2900,I am unable to access exam hall ticket.,High
1408,My scholarship has not been credited yet.,High
3460,I need migration certificate process.,Medium
3671,Where to collect ID card?,Low
4699,I cannot submit my exam form and today is the last date.,High
5778,Can I change my project guide?,Medium
4504,My fee payment failed but amount deducted.,High
764,When will semester timetable be released?,Medium
1663,Is there any AI workshop this month?,Low
421,Holiday list for this semester?,Low
3015,Any cultural events this week?,Low
2585,Holiday list for this semester?,Low
374,I want to change my elective subject.,Medium
5032,How can I apply for hostel change?,Medium
4535,Can I change my project guide?,Medium
2374,How to join sports club?,Low
2768,Where to collect ID card?,Low
3362,How can I apply for hostel change?,Medium
1833,What are library timings?,Low
1621,Request for bonafide certificate.,Medium
3276,When will semester timetable be released?,Medium
539,Where is the auditorium located?,Low
3551,I am unable to access exam hall ticket.,High
756,Where is the auditorium located?,Low
3607,Bus schedule for weekend?,Low
535,What are library timings?,Low
1449,I am unable to access exam hall ticket.,High
916,WiFi password for campus?,Low
3128,Where is the auditorium located?,Low
4940,Any cultural events this week?,Low
5418,Degree certificate required urgently for job.,High
182,When does cafeteria open?,Low
1770,WiFi password for campus?,Low
4610,"Internship deadline today, need NOC approval.",High
2830,Degree certificate required urgently for job.,High
3314,I want to join a club in university.,Medium
5458,My fee payment failed but amount deducted.,High
1193,I am unable to access exam hall ticket.,High
4082,Please update my contact number.,Medium
2128,My result shows absent but I attended exam.,High
5396,I cannot submit my exam form and today is the last date.,High
477,Holiday list for this semester?,Low
4921,I missed my exam registration due to portal error.,High
1324,Can I change my project guide?,Medium
260,What are library timings?,Low
280,My result shows absent but I attended exam.,High
562,Bus schedule for weekend?,Low
4285,Degree certificate required urgently for job.,High
199,Is there any AI workshop this month?,Low
3930,Is there any AI workshop this month?,Low
4378,Please update my contact number.,Medium
2276,Is there any AI workshop this month?,Low
1741,WiFi password for campus?,Low
1892,When does cafeteria open?,Low
1860,I am unable to access exam hall ticket.,High
4615,Is there any AI workshop this month?,Low
5904,I want to join a club in university.,Medium
3027,My result shows absent but I attended exam.,High
1384,The assignment portal is not working before deadline.,High
2092,"Internship deadline today, need NOC approval.",High
3077,Can I change my project guide?,Medium
4334,My fee payment failed but amount deducted.,High
3199,When does cafeteria open?,Low
1600,Request for bonafide certificate.,Medium
2575,When will semester timetable be released?,Medium
1727,Request for bonafide certificate.,Medium
3238,I want to change my elective subject.,Medium
5247,How to reset student portal password?,Medium
5694,I need migration certificate process.,Medium
4667,Where is the auditorium located?,Low
4793,Please update my contact number.,Medium
1224,Urgent: hostel fee payment not updated.,High
1298,Where is the auditorium located?,Low
2776,Bus schedule for weekend?,Low
16,I am unable to access exam hall ticket.,High
5426,Holiday list for this semester?,Low
352,My result shows absent but I attended exam.,High
5405,"Internship deadline today, need NOC approval.",High
1363,When will semester timetable be released?,Medium
2171,Bus schedule for weekend?,Low
2032,Degree certificate required urgently for job.,High
3814,When will semester timetable be released?,Medium
1023,"Internship deadline today, need NOC approval.",High
372,My fee payment failed but amount deducted.,High
2245,Please update my contact number.,Medium
2314,My result shows absent but I attended exam.,High
5861,Holiday list for this semester?,Low
3797,Bus schedule for weekend?,Low
3800,"Internship deadline today, need NOC approval.",High
5805,Request for bonafide certificate.,Medium
743,When does cafeteria open?,Low
1269,My fee payment failed but amount deducted.,High
2601,I need migration certificate process.,Medium
1618,How to apply for revaluation?,Medium
806,How to reset student portal password?,Medium
4797,Any cultural events this week?,Low
684,How to apply for revaluation?,Medium
4984,I need migration certificate process.,Medium
3560,Can I change my project guide?,Medium
3853,Can I change my project guide?,Medium
3806,How can I apply for hostel change?,Medium
5564,How to join sports club?,Low
4707,I missed my exam registration due to portal error.,High
4370,Request for bonafide certificate.,Medium
5013,How can I apply for hostel change?,Medium
3857,Holiday list for this semester?,Low
3860,The assignment portal is not working before deadline.,High
9,How to join sports club?,Low
1863,How to apply for revaluation?,Medium
2820,When will semester timetable be released?,Medium
1352,I need migration certificate process.,Medium
577,I want to change my elective subject.,Medium
627,I cannot submit my exam form and today is the last date.,High
3619,Bus schedule for weekend?,Low
5532,Holiday list for this semester?,Low
427,How can I apply for hostel change?,Medium
34,How to reset student portal password?,Medium
1047,I want to change my elective subject.,Medium
45,Degree certificate required urgently for job.,High
3340,What are library timings?,Low
1045,My fee payment failed but amount deducted.,High
1102,Please update my contact number.,Medium
1050,Degree certificate required urgently for job.,High
1884,I want to change my elective subject.,Medium
4472,The assignment portal is not working before deadline.,High
4634,I cannot submit my exam form and today is the last date.,High
1744,I want to change my elective subject.,Medium
2578,When does cafeteria open?,Low
64,My fee payment failed but amount deducted.,High
4354,Where is the auditorium located?,Low
3071,I want to change my elective subject.,Medium
5330,My result shows absent but I attended exam.,High
2618,I want to change my elective subject.,Medium
1120,I missed my exam registration due to portal error.,High
2500,I want to change my elective subject.,Medium
3393,How can I apply for hostel change?,Medium
706,My fee payment failed but amount deducted.,High
4987,My fee payment failed but amount deducted.,High
4963,Is there any AI workshop this month?,Low
3269,When will semester timetable be released?,Medium
4011,Holiday list for this semester?,Low
1613,How to apply for revaluation?,Medium
4223,I cannot submit my exam form and today is the last date.,High
1974,Where is the auditorium located?,Low
4816,My fee payment failed but amount deducted.,High
5560,Urgent: hostel fee payment not updated.,High
3933,I want to change my elective subject.,Medium
1316,WiFi password for campus?,Low
5688,Urgent: hostel fee payment not updated.,High
5695,Is there any AI workshop this month?,Low
2799,When will semester timetable be released?,Medium
5783,How to join sports club?,Low
3837,Request for bonafide certificate.,Medium
4763,I need migration certificate process.,Medium
748,Can I change my project guide?,Medium
4242,Any cultural events this week?,Low
474,I cannot submit my exam form and today is the last date.,High
3444,Please update my contact number.,Medium
5674,I am unable to access exam hall ticket.,High
298,How can I apply for hostel change?,Medium
304,How to reset student portal password?,Medium
2477,I need migration certificate process.,Medium
2378,Is there any AI workshop this month?,Low
3535,I cannot submit my exam form and today is the last date.,High
3310,Bus schedule for weekend?,Low
3870,Request for bonafide certificate.,Medium
4129,Can I change my project guide?,Medium
3617,Any cultural events this week?,Low
2686,I cannot submit my exam form and today is the last date.,High
241,When does cafeteria open?,Low
5738,Urgent: hostel fee payment not updated.,High
2293,Degree certificate required urgently for job.,High
1672,Where is the auditorium located?,Low
2100,My scholarship has not been credited yet.,High
5061,Degree certificate required urgently for job.,High
1176,I cannot submit my exam form and today is the last date.,High
3934,"Internship deadline today, need NOC approval.",High
4384,I want to join a club in university.,Medium
3083,How to apply for revaluation?,Medium
2863,What are library timings?,Low
5592,"Internship deadline today, need NOC approval.",High
5711,I am unable to access exam hall ticket.,High
5177,Where to collect ID card?,Low
1648,I want to join a club in university.,Medium
3415,Where is the auditorium located?,Low
334,My result shows absent but I attended exam.,High
2603,"Internship deadline today, need NOC approval.",High
5868,"Internship deadline today, need NOC approval.",High
2158,I missed my exam registration due to portal error.,High
1162,How to join sports club?,Low
3575,"Internship deadline today, need NOC approval.",High
4477,Degree certificate required urgently for job.,High
4582,Request for bonafide certificate.,Medium
4951,Urgent: hostel fee payment not updated.,High
3003,Is there any AI workshop this month?,Low
248,My result shows absent but I attended exam.,High
4877,"Internship deadline today, need NOC approval.",High
3530,I missed my exam registration due to portal error.,High
801,Can I change my project guide?,Medium
1685,I want to change my elective subject.,Medium
4682,My fee payment failed but amount deducted.,High
4197,Where to collect ID card?,Low
1922,Is there any AI workshop this month?,Low
2210,I want to join a club in university.,Medium
1222,Where to collect ID card?,Low
4004,Holiday list for this semester?,Low
1514,Holiday list for this semester?,Low
4352,How to apply for revaluation?,Medium
1254,How to join sports club?,Low
5331,WiFi password for campus?,Low
5170,The assignment portal is not working before deadline.,High
599,I want to join a club in university.,Medium
1610,Where is the auditorium located?,Low
316,Where is the auditorium located?,Low
5243,How can I apply for hostel change?,Medium
2277,I want to join a club in university.,Medium
150,I am unable to access exam hall ticket.,High
4734,Degree certificate required urgently for job.,High
1845,Can I change my project guide?,Medium
291,How to apply for revaluation?,Medium
454,What are library timings?,Low
5962,What are library timings?,Low
4809,I need migration certificate process.,Medium
3397,Any cultural events this week?,Low
692,"Internship deadline today, need NOC approval.",High
1145,I am unable to access exam hall ticket.,High
1635,I want to change my elective subject.,Medium
4193,WiFi password for campus?,Low
1781,"Internship deadline today, need NOC approval.",High
4971,Degree certificate required urgently for job.,High
3652,Holiday list for this semester?,Low
656,How to join sports club?,Low
3136,Where is the auditorium located?,Low
1903,My result shows absent but I attended exam.,High
4428,Can I change my project guide?,Medium
1040,My scholarship has not been credited yet.,High
4630,My result shows absent but I attended exam.,High
1412,Urgent: hostel fee payment not updated.,High
5748,I want to join a club in university.,Medium
1673,Any cultural events this week?,Low
5096,The assignment portal is not working before deadline.,High
1371,WiFi password for campus?,Low
5083,My fee payment failed but amount deducted.,High
3134,I missed my exam registration due to portal error.,High
2381,Any cultural events this week?,Low
3721,I am unable to access exam hall ticket.,High
4092,My fee payment failed but amount deducted.,High
5007,"Internship deadline today, need NOC approval.",High
1624,How to join sports club?,Low
3670,How to apply for revaluation?,Medium
382,I want to change my elective subject.,Medium
3115,Holiday list for this semester?,Low
1821,My fee payment failed but amount deducted.,High
3631,WiFi password for campus?,Low
423,WiFi password for campus?,Low
809,I missed my exam registration due to portal error.,High
1380,Degree certificate required urgently for job.,High
1670,Where to collect ID card?,Low
2099,How can I apply for hostel change?,Medium
5526,How to join sports club?,Low
125,My fee payment failed but amount deducted.,High
103,Degree certificate required urgently for job.,High
4059,My fee payment failed but amount deducted.,High
1733,When does cafeteria open?,Low
3036,I missed my exam registration due to portal error.,High
2916,I am unable to access exam hall ticket.,High
487,Is there any AI workshop this month?,Low
1129,When does cafeteria open?,Low
3618,What are library timings?,Low
1515,Bus schedule for weekend?,Low
136,Urgent: hostel fee payment not updated.,High
2599,WiFi password for campus?,Low
2003,Bus schedule for weekend?,Low
2834,I missed my exam registration due to portal error.,High
1818,My fee payment failed but amount deducted.,High
753,I need migration certificate process.,Medium
4002,I want to change my elective subject.,Medium
5028,Urgent: hostel fee payment not updated.,High
1104,What are library timings?,Low
5371,I am unable to access exam hall ticket.,High
2317,I cannot submit my exam form and today is the last date.,High
1919,How to reset student portal password?,Medium
1544,I am unable to access exam hall ticket.,High
3668,Can I change my project guide?,Medium
4442,I missed my exam registration due to portal error.,High
3707,Please update my contact number.,Medium
1177,Can I change my project guide?,Medium
1560,Can I change my project guide?,Medium
5664,I missed my exam registration due to portal error.,High
145,How to join sports club?,Low
381,Holiday list for this semester?,Low
1434,My fee payment failed but amount deducted.,High
1096,The assignment portal is not working before deadline.,High
5414,How to reset student portal password?,Medium
122,Where to collect ID card?,Low
5566,The assignment portal is not working before deadline.,High
612,Holiday list for this semester?,Low
4825,I want to join a club in university.,Medium
1942,How to apply for revaluation?,Medium
419,When does cafeteria open?,Low
2253,I cannot submit my exam form and today is the last date.,High
1351,I want to change my elective subject.,Medium
2304,Bus schedule for weekend?,Low
5434,My result shows absent but I attended exam.,High
4259,Where to collect ID card?,Low
1979,Please update my contact number.,Medium
4480,Where is the auditorium located?,Low
1303,Degree certificate required urgently for job.,High
3056,How can I apply for hostel change?,Medium
249,How can I apply for hostel change?,Medium
1398,Can I change my project guide?,Medium
4029,Where is the auditorium located?,Low
448,How to reset student portal password?,Medium
1426,Holiday list for this semester?,Low
4687,Request for bonafide certificate.,Medium
1200,My scholarship has not been credited yet.,High
1422,How to apply for revaluation?,Medium
4558,Request for bonafide certificate.,Medium
3765,My fee payment failed but amount deducted.,High
3917,How to apply for revaluation?,Medium
4474,I want to join a club in university.,Medium
4665,WiFi password for campus?,Low
4728,"Internship deadline today, need NOC approval.",High
4114,I need migration certificate process.,Medium
3510,Please update my contact number.,Medium
2886,I cannot submit my exam form and today is the last date.,High
1536,I want to join a club in university.,Medium
415,Where to collect ID card?,Low
4586,When will semester timetable be released?,Medium
1721,My result shows absent but I attended exam.,High
655,Bus schedule for weekend?,Low
3561,I need migration certificate process.,Medium
1003,I missed my exam registration due to portal error.,High
4455,I am unable to access exam hall ticket.,High
3373,When does cafeteria open?,Low
3974,Where is the auditorium located?,Low
5913,How to apply for revaluation?,Medium
1488,When will semester timetable be released?,Medium
590,I want to join a club in university.,Medium
2087,I cannot submit my exam form and today is the last date.,High
3609,Request for bonafide certificate.,Medium
4517,Holiday list for this semester?,Low
1601,Any cultural events this week?,Low
5290,WiFi password for campus?,Low
2837,My scholarship has not been credited yet.,High
2358,Bus schedule for weekend?,Low
995,What are library timings?,Low
2198,My result shows absent but I attended exam.,High
1880,"Internship deadline today, need NOC approval.",High
4565,Urgent: hostel fee payment not updated.,High
1372,I want to change my elective subject.,Medium
1874,I want to change my elective subject.,Medium
209,My scholarship has not been credited yet.,High
4813,How to join sports club?,Low
4241,The assignment portal is not working before deadline.,High
426,WiFi password for campus?,Low
5787,When will semester timetable be released?,Medium
1407,Urgent: hostel fee payment not updated.,High
5649,Request for bonafide certificate.,Medium
1109,Request for bonafide certificate.,Medium
5273,How to join sports club?,Low
111,I need migration certificate process.,Medium
3075,I am unable to access exam hall ticket.,High
